Base.Unit.CU.ID,Base.Unit.CU.ShortName,Year,Metric,Value
SEL-L-06-11,Seton-L,2012,Recent.Geom.Total,1790
SEL-L-03-04,Harrison_US_L,2012,Recent.Geom.Total,14365
SER-R02,Widgeon_RT,2012,Recent.Geom.Total,357
SEL-L-04-01,Lillooet_Harr_L,2012,Recent.Geom.Total,52899
SEL-L-03-03,Harrison_DS_L,2012,Recent.Geom.Total,4441
SEL-L-09-02,Shuswap_ES,2012,Recent.Geom.Total,974533
SEL-L-06-14,Takla_Trem_Estu,2012,Recent.Geom.Total,43001
SEL-L-06-10,Quesnel_S,2012,Recent.Geom.Total,148142
SEL-L-06-13,Takla_Trem_S_S,2012,Recent.Geom.Total,80540
SEL-L-09-03,Shuswap_L,2012,Recent.Geom.Total,5522291
SER-R03,Harrison_RT,2012,Recent.Geom.Total,115284
SEL-L-03-05,Pitt_ES,2017,Lower.Ratio,7.644459886
SEL-L-06-20,Nadina_Francois_ES,2017,Lower.Ratio,1.20311023
SEL-L-10-01,Kamloops_ES,2017,Lower.Ratio,2.158007752
SEL-L-07-01,Bowron_ES,2017,Lower.Ratio,0.328099902
SEL-L-10-03,North_Barriere_ES,2017,Lower.Ratio,4.375684643
SEL-L-05-02,Nahatlatch_ES,2017,Lower.Ratio,
SEL-L-06-16,Taseko_ES,2017,Lower.Ratio,
SEL-L-03-01,Chilliwack_ES,2017,Lower.Ratio,1.575
SEL-L-06-01,Anderson_Seton_ES,2017,Lower.Ratio,4.927635172
SEL-L-06-03,Chilko_S_ES,2017,Lower.Ratio,8.277771371
SEL-L-06-07,Fran_Fras_S,2017,Lower.Ratio,5.56981611
SEL-L-03-02,Cultus_L,2017,Lower.Ratio,0.029929996
SEL-L-06-11,Seton-L,2017,Lower.Ratio,0.273200299
SEL-L-03-04,Harrison_US_L,2017,Lower.Ratio,0.503231271
SER-R02,Widgeon_RT,2017,Lower.Ratio,
SEL-L-04-01,Lillooet_Harr_L,2017,Lower.Ratio,2.031358751
SEL-L-03-03,Harrison_DS_L,2017,Lower.Ratio,
SEL-L-09-02,Shuswap_ES,2017,Lower.Ratio,2.903216053
SEL-L-06-14,Takla_Trem_Estu,2017,Lower.Ratio,0.77097111
SEL-L-06-10,Quesnel_S,2017,Lower.Ratio,0.956806711
SEL-L-06-13,Takla_Trem_S_S,2017,Lower.Ratio,1.158907638
SEL-L-09-03,Shuswap_L,2017,Lower.Ratio,6.797070625
SER-R03,Harrison_RT,2017,Lower.Ratio,4.246338259
SEL-L-03-05,Pitt_ES,2012,Lower.Ratio,3.665166667
SEL-L-06-20,Nadina_Francois_ES,2012,Lower.Ratio,0.518
SEL-L-10-01,Kamloops_ES,2012,Lower.Ratio,1.4115
SEL-L-07-01,Bowron_ES,2012,Lower.Ratio,0.58025
SEL-L-10-03,North_Barriere_ES,2012,Lower.Ratio,5.223529412
SEL-L-05-02,Nahatlatch_ES,2012,Lower.Ratio,
SEL-L-06-16,Taseko_ES,2012,Lower.Ratio,
SEL-L-03-01,Chilliwack_ES,2012,Lower.Ratio,0.73
